;_;À;Á;Â;Ã;Ä;Å;Æ;Ç;È;É;Ê;Ë;Ì;Í;Î;Ï;Ð;Ñ;Ò;Ó;Ô;Õ;Ö;×;Ø;Ù;Û;Ü;Ý;Þ;ß
Ð;0.00078677;0.0073678;5.2732e-05;0.00035225;0.0002257;0.00040499;0.0059524;0.00036491;5.0623e-05;0.0049653;-;0.00030585;0.00029741;0.00037335;0.00085427;0.0068236;0.00015398;8.4372e-05;0.00039655;0.00085427;0.0026155;2.1093e-05;0.00014132;3.1639e-05;8.4372e-05;0.00022148;1.4765e-05;0.0013162;0.00063279;7.5935e-05;0.00024257;0.00096817
Ñ;0.002856;0.0015904;7.1716e-05;0.0014238;2.3202e-05;0.0002489;0.0034698;6.5388e-05;2.1093e-06;0.001736;-;0.0035563;0.0028792;0.0011348;0.0012255;0.0028096;0.001736;0.00024679;0.0010399;0.012;0.00069818;2.3202e-05;0.00017507;4.6405e-05;0.00033749;9.7028e-05;-;0.00050201;0.002991;0.0001139;0.00016453;0.0040836
Ò;0.0064587;0.0056023;5.0623e-05;0.0022865;1.4765e-05;0.00012023;0.0062667;-;6.3279e-06;0.0041996;-;0.00066443;0.00036069;4.8514e-05;0.0013162;0.012696;0.00012656;0.0030437;0.0021768;8.6481e-05;0.0013774;8.4372e-06;8.4372e-06;0.00010968;0.0001139;1.2656e-05;4.4295e-05;0.0017739;0.0058027;0.0001139;5.0623e-05;0.00063279
Ó;0.0049062;6.5388e-05;0.00083106;0.00073615;0.00097661;0.0019005;0.00036913;0.0013352;0.00036491;0.00010757;0.00024046;0.00093653;0.001371;0.0010483;0.00025101;6.7498e-05;0.00080364;0.00048514;0.0012529;0.0014807;6.3279e-06;1.6874e-05;0.00034803;2.1093e-06;0.0008627;0.00060537;0.00028265;-;-;4.8514e-05;0.0010399;4.4295e-05
Ô;1.6874e-05;0.00015187;-;-;1.8984e-05;-;0.00027843;-;-;0.00024046;-;-;4.8514e-05;2.1093e-06;2.1093e-06;0.00034382;-;8.2263e-05;2.1093e-06;4.8514e-05;8.0153e-05;8.0153e-05;-;-;4.2186e-06;-;-;1.6874e-05;2.1093e-06;-;2.1093e-06;-
Õ;0.0022738;0.00058217;-;0.00021726;2.1093e-06;-;3.3749e-05;-;-;0.00022991;-;-;9.2809e-05;0.00018984;0.00017296;0.0031492;-;0.00012867;3.1639e-05;1.2656e-05;0.00012445;-;6.3279e-06;-;2.1093e-06;1.6874e-05;-;-;4.2186e-06;4.2186e-06;-;-
Ö;0.00020038;0.00061381;-;7.8044e-05;-;2.1093e-06;0.00087536;-;-;0.00039866;-;1.8984e-05;-;2.1093e-06;-;0.00026366;2.1093e-06;-;-;-;0.0001582;-;-;-;-;-;-;0.00021093;-;-;-;-
×;2.7421e-05;0.0021072;-;4.2186e-06;-;-;0.0041743;-;-;0.0015967;-;0.00031639;1.6874e-05;2.1093e-06;0.0009534;6.7498e-05;-;8.4372e-06;-;0.0034698;0.00083528;-;-;-;-;0.00013289;-;-;0.00026788;-;-;-
Ø;0.00015398;0.0010399;-;1.6874e-05;-;-;0.0022591;-;-;0.0013879;-;0.00041131;0.00049358;1.6874e-05;0.00031639;0.0004535;1.0546e-05;1.4765e-05;-;5.6951e-05;0.00031007;-;-;1.0546e-05;-;-;-;-;0.00054842;-;4.2186e-06;-
Ù;4.2186e-06;0.00043663;-;-;-;-;0.0012171;-;-;0.00078044;-;-;-;-;8.6481e-05;2.1093e-06;-;-;-;-;0.0001371;-;-;-;-;-;-;-;6.3279e-05;-;-;-
Û;0.004478;-;0.00039444;0.0011686;0.00014976;0.00010336;0.0010779;6.7498e-05;6.117e-05;6.3279e-06;0.001563;0.00022991;0.0016389;0.0010715;0.00018351;-;0.0001371;0.00027421;0.00064966;0.00067709;4.2186e-06;-;0.00098504;8.4372e-06;0.00021515;0.00043452;4.4295e-05;-;-;-;-;3.1639e-05
Ü;0.0072201;-;7.1716e-05;1.8984e-05;3.7967e-05;4.6405e-05;0.0004999;-;0.00013921;4.0077e-05;-;0.00094708;-;0.00029319;0.0014217;1.6874e-05;2.1093e-06;-;0.00097239;0.000135;-;6.3279e-06;-;0.00020671;5.6951e-05;0.00050623;1.0546e-05;-;-;-;0.00048936;0.00035858
Ý;4.2186e-06;-;9.7028e-05;2.1093e-06;1.6874e-05;1.0546e-05;2.1093e-06;-;1.4765e-05;-;4.8514e-05;0.00011812;0.00010546;4.0077e-05;0.00019827;-;1.2656e-05;0.00013289;2.7421e-05;0.0024679;-;8.4372e-06;1.6874e-05;-;-;2.1093e-06;-;-;-;2.1093e-06;2.1093e-06;6.3279e-06
Þ;0.0027273;-;0.00030163;4.2186e-06;2.1093e-05;0.0003628;-;2.1093e-05;1.8984e-05;-;1.0546e-05;2.7421e-05;2.953e-05;6.117e-05;5.2732e-05;-;2.1093e-06;6.7498e-05;0.00066232;0.00041975;-;-;1.4765e-05;-;0.00020249;1.0546e-05;0.00037335;-;-;-;2.953e-05;-
ß;0.011462;-;1.6874e-05;0.00032694;0.00018773;0.00069396;0.00037756;0.00022991;0.00024468;5.0623e-05;2.953e-05;0.00012445;0.00057584;0.00034382;0.00058217;-;2.953e-05;0.000135;0.00051889;0.0013668;-;-;0.00016453;6.117e-05;9.9137e-05;3.3749e-05;0.0002046;-;-;-;0.00023202;8.0153e-05
